incident_id,description,source_system,category,root_cause,resolution,amt_impacted,status
INC001,"Nostro balance mismatch USD 2.4M, GLRS feed not received by EOD",GLRS,Nostro Reconciliation,SWIFT cut-off time difference caused feed delay,"Manual adjustment posted, feed team notified, resolved next morning",2400000,closed
INC002,"MUREX position break vs settlement system, 500 trades unmatched",MUREX,Position Break,Late trade booking missed settlement cut-off,"Backdated entries raised, ops team confirmed match",500000,closed
INC003,CALYPSO cash break USD 1.2M wrong value date posted,CALYPSO,Cash Break,Holiday calendar not updated in system,Value date corrected and reposted by static data team,1200000,closed
INC004,"SWIFT feed delayed 4 hours, nostro opening balance incorrect",SWIFT,Nostro Reconciliation,SWIFT network maintenance window overran,"Feed reprocessed manually, balance corrected",3100000,closed
INC005,"SUMMIT bond position mismatch vs custodian, 3 trades missing",SUMMIT,Position Break,"Custodian file arrived in wrong format, rejected by parser","Format issue fixed, file reloaded, positions matched",750000,closed
INC006,"Enrichment failure on 200 FX trades, missing SSI data",MUREX,Enrichment Failure,Counterparty SSI not updated after account change,"SSI updated in static data, trades re-enriched and released",1800000,closed
INC007,USD nostro account showing USD 5M surplus vs bank statement,GLRS,Nostro Reconciliation,Duplicate posting from overnight batch job,"Duplicate entry reversed, root cause fixed in batch config",5000000,closed
INC008,"CALYPSO interest payment break, 45 accounts affected",CALYPSO,Cash Break,Rate reset not applied due to system timeout,"Batch rerun after timeout resolved, payments posted correctly",920000,closed
INC009,KONDOR FX position flat but P&L showing USD 300K loss,KONDOR,Position Break,Incorrect FX rate applied at revaluation,"Rate corrected manually, P&L recalculated and reconciled",300000,closed
INC010,"SWIFT MT202 messages not received, correspondent bank unmatched",SWIFT,Nostro Reconciliation,Firewall rule blocked incoming SWIFT messages for 2 hours,"Firewall rule corrected, messages reprocessed, accounts balanced",4200000,closed
INC011,MUREX trade feed to settlement system stopped at 3pm,MUREX,Feed Failure,Database connection pool exhausted during peak load,"Connection pool size increased, feed restarted, trades replayed",2100000,closed
INC012,"Bloomberg pricing feed delayed, 1200 bonds using stale prices",BLOOMBERG,Enrichment Failure,Bloomberg API rate limit hit during batch pricing run,"Pricing job rerun after rate limit reset, all bonds repriced",8500000,closed
INC013,"OPTIMA repo break USD 3.4M, collateral not returned on time",OPTIMA,Cash Break,Maturity date incorrect in trade capture,"Trade amended, collateral returned, counterparty notified",3400000,closed
INC014,"GLRS nostro GBP account break, weekend accruals missing",GLRS,Nostro Reconciliation,Accrual job skipped Saturday due to incorrect calendar config,"Accruals posted manually for both days, calendar config fixed",670000,closed
INC015,"SUMMIT equity position break, corporate action not applied",SUMMIT,Position Break,Stock split event missed in corporate actions feed,"Corporate action applied manually, position adjusted, custodian confirmed",1100000,closed
INC016,"CALYPSO failing to enrich 80 trades, missing legal entity data",CALYPSO,Enrichment Failure,Legal entity merger not updated in reference data,"Reference data updated, trades re-enriched automatically",2900000,closed
INC017,MUREX USD cash break USD 1.7M open since Monday,MUREX,Cash Break,Funding instruction sent to wrong nostro account,"Funds transferred to correct account, instruction template corrected",1700000,closed
INC018,"SWIFT feed received but GLRS rejected all messages, 0 posted",GLRS,Feed Failure,GLRS schema version mismatch after weekend release,"Schema updated in GLRS config, messages reprocessed successfully",3800000,closed
INC019,KONDOR FX forward book position break vs confirmation system,KONDOR,Position Break,Confirmation system applied wrong settlement date convention,"Settlement dates corrected in confirmation system, positions matched",440000,closed
INC020,Nostro JPY account USD equivalent break due to FX rate,GLRS,Nostro Reconciliation,Overnight FX revaluation used previous day rate,"Revaluation rerun with correct rate, JPY break resolved",2200000,closed
INC021,"MUREX equity trade feed stopped, 3 hours of trades missing",MUREX,Feed Failure,Disk space exhausted on MUREX app server,"Disk space freed, feed restarted, missing trades replayed from audit log",5600000,closed
INC022,"CALYPSO money market break, rollover not processed",CALYPSO,Cash Break,Automatic rollover job failed due to missing rate,"Rate input manually, rollover processed, counterparty confirmed",9000000,closed
INC023,"SWIFT nostro statement arrived 6 hours late, reconciliation delayed",SWIFT,Nostro Reconciliation,Correspondent bank changed statement delivery time without notice,"Reconciliation completed on delayed basis, correspondent bank notified",1500000,closed
INC024,"SUMMIT custodian break, 15 trades showing at custodian not in SUMMIT",SUMMIT,Position Break,Batch job dropped trades with non-standard settlement codes,"Settlement code mapping updated, missing trades loaded",870000,closed
INC025,"OPTIMA collateral break, haircut calculated incorrectly",OPTIMA,Cash Break,Wrong haircut table applied after regulatory update,"Correct haircut table loaded, margin calls recalculated",2300000,closed
INC026,GLRS feed received but amounts in wrong currency,GLRS,Feed Failure,Currency field mapping changed in upstream system without notification,"Mapping corrected in GLRS parser, feed reprocessed",1900000,closed
INC027,"MUREX bond accrual break, 500 positions showing zero accrual",MUREX,Cash Break,Accrual basis flag set incorrectly after migration,"Flag corrected on all affected positions, accruals recalculated",3300000,closed
INC028,Bloomberg FX rate feed missing for 12 currency pairs,BLOOMBERG,Enrichment Failure,Bloomberg subscription lapsed for emerging market data package,"Subscription renewed, missing rates loaded manually for the day",7100000,closed
INC029,"KONDOR nostro break EUR 4.1M, unposted settlement instruction",KONDOR,Nostro Reconciliation,Settlement instruction generated but not released due to approval timeout,"Instruction approved and released, funds settled same day",4100000,closed
INC030,"CALYPSO equity dividend break, 200 accounts short credited",CALYPSO,Cash Break,"Dividend rate loaded net instead of gross, tax calculated twice","Gross rate reloaded, shortfall credited to all affected accounts",1600000,closed
INC031,"MUREX feed to risk system delayed 2 hours, VaR calculation stale",MUREX,Feed Failure,Network timeout between MUREX and risk system,"Network route fixed, feed replayed, VaR recalculated on time",0,closed
INC032,"SWIFT message rejected by correspondent, nostro unmatched",SWIFT,Nostro Reconciliation,BIC code in payment instruction outdated after bank merger,"BIC updated in standing settlement instructions, payment resent",2700000,closed
INC033,OPTIMA repo collateral substitution not reflected in positions,OPTIMA,Position Break,Substitution event not processed by overnight batch,"Substitution applied manually, counterparty confirmed new collateral",1300000,closed
INC034,"GLRS multi-currency account break, netting applied incorrectly",GLRS,Nostro Reconciliation,Netting configuration changed without updating GLRS rules,"GLRS netting rules updated, break reversed, account balanced",3700000,closed
INC035,"SUMMIT prime brokerage break, client position overstated",SUMMIT,Position Break,Client trade cancel not propagated to prime brokerage module,"Cancel applied in prime brokerage, position corrected, client notified",620000,closed
INC036,"CALYPSO IR swap break, floating rate reset not applied",CALYPSO,Cash Break,LIBOR to SOFR migration setting incorrect for legacy swaps,"Rate setting corrected, reset applied, payment recalculated",4800000,closed
INC037,MUREX FX options position break after system upgrade,MUREX,Position Break,Upgrade changed delta calculation methodology without config update,"Config restored to pre-upgrade setting, positions recalculated",2500000,closed
INC038,BLOOMBERG bond reference data missing for 300 new ISINs,BLOOMBERG,Enrichment Failure,"New ISINs not yet loaded in Bloomberg, trades held in enrichment queue","ISINs loaded manually from prospectus data, trades released",6200000,closed
INC039,KONDOR nostro break caused by timing difference in CLS settlement,KONDOR,Nostro Reconciliation,CLS settlement reported one day ahead of value date in KONDOR,"Timing adjustment applied in KONDOR config, break will not recur",1100000,closed
INC040,OPTIMA margin call not generated for 3 counterparties,OPTIMA,Cash Break,Threshold breach below minimum transfer amount setting,"MTM setting corrected, margin calls generated and sent",890000,closed
INC041,"GLRS nostro USD break USD 8.2M, month end accruals",GLRS,Nostro Reconciliation,Month end accrual batch ran before all trades booked,"Batch rerun after trade cut-off, accruals complete",8200000,open
INC042,"MUREX feed failure at quarter end, regulatory report delayed",MUREX,Feed Failure,"Quarter end batch overran, feed queue backed up","Feed priority increased for regulatory feeds, report submitted on time",0,closed
INC043,CALYPSO cash break on structured note coupon payment,CALYPSO,Cash Break,Coupon schedule loaded with wrong frequency,"Schedule corrected, missed coupons paid, future payments verified",2100000,closed
INC044,SUMMIT custodian break on newly onboarded fund,SUMMIT,Position Break,"Fund static data incomplete, trades routed to wrong custodian","Static data completed, trades rerouted, custodian confirmed positions",3500000,open
